transport_mode,origin_port,destination_region,cargo_type,season,carrier_reliability,customs_complexity,lead_time_days,shipment_weight_kg,distance_km,port_congestion_idx,weather_severity,customs_days,documentation_errors,is_delayed,delay_hours,base_cost_nzd,delay_cost_nzd,total_cost_nzd
Sea Freight,Lyttelton Port,Wellington,Refrigerated,Summer,High,Moderate,24.1,586.6,1272.0,1.84,1.98,1.0,0,0,0.0,703.87,0.0,703.87
Road,Port of Tauranga,Auckland,Bulk,Winter,Medium,Simple,26.7,923.8,2135.0,5.0,1.02,2.7,0,0,0.0,1939.88,0.0,1939.88
Sea Freight,Port Otago,Auckland,Bulk,Summer,High,Moderate,14.8,386.4,1480.0,3.73,1.86,0.3,0,0,0.0,463.63,0.0,463.63
Sea Freight,Port of Tauranga,Dunedin,Automotive,Spring,Low,Simple,22.7,843.3,2245.0,2.64,5.59,2.3,0,0,0.0,1011.92,0.0,1011.92
Road,Port of Tauranga,Christchurch,General Merchandise,Spring,Low,Simple,22.3,281.3,2244.0,0.82,2.55,4.4,1,0,0.0,590.71,0.0,590.71
Rail,Port of Auckland,Wellington,Pharmaceuticals,Winter,High,Moderate,27.0,326.3,965.0,0.58,3.93,0.6,1,0,0.0,587.29,0.0,587.29
Rail,Port of Tauranga,Auckland,Refrigerated,Spring,Medium,Moderate,15.7,347.6,1148.0,1.09,2.91,4.1,0,0,0.0,625.74,0.0,625.74
Air Cargo,Port Otago,Wellington,Pharmaceuticals,Spring,High,Complex,32.4,2249.8,1711.0,6.92,0.72,1.6,1,0,0.0,19123.15,0.0,19123.15
Sea Freight,Lyttelton Port,Auckland,General Merchandise,Autumn,Medium,Moderate,33.2,1485.0,322.0,2.55,4.19,1.4,0,0,0.0,1782.04,0.0,1782.04
Road,Port Otago,Tauranga,Refrigerated,Spring,High,Moderate,11.1,716.2,1191.0,3.63,1.86,0.2,0,0,0.0,1504.09,0.0,1504.09
Sea Freight,Port of Tauranga,Dunedin,Refrigerated,Summer,High,Moderate,16.7,713.9,416.0,4.36,6.0,0.3,0,0,0.0,856.63,0.0,856.63
Air Cargo,Port of Auckland,Auckland,Refrigerated,Autumn,Medium,Simple,20.5,96.2,2127.0,0.39,1.76,1.3,0,0,0.0,817.93,0.0,817.93
Sea Freight,Port of Auckland,Christchurch,Automotive,Winter,Medium,Simple,18.4,888.7,2360.0,1.71,4.02,2.5,1,1,30.6,1066.48,1767.15,2833.63
Air Cargo,Port of Auckland,Auckland,Bulk,Winter,Medium,Simple,10.9,368.1,397.0,4.68,3.98,1.2,0,0,0.0,3129.19,0.0,3129.19
Sea Freight,Lyttelton Port,Wellington,Pharmaceuticals,Summer,Medium,Simple,11.4,808.0,1685.0,3.14,3.39,1.5,0,0,0.0,969.62,0.0,969.62
Sea Freight,Lyttelton Port,Dunedin,Bulk,Autumn,Medium,Simple,11.6,1517.2,1610.0,1.91,1.77,0.7,0,0,0.0,1820.68,0.0,1820.68
Rail,Port of Auckland,Christchurch,Refrigerated,Winter,Medium,Complex,11.7,87.3,1912.0,0.91,1.39,0.9,0,0,0.0,157.05,0.0,157.05
Sea Freight,Port of Tauranga,Wellington,General Merchandise,Autumn,Low,Moderate,17.4,797.3,1755.0,4.28,1.28,1.0,0,0,0.0,956.74,0.0,956.74
Air Cargo,Port of Tauranga,Auckland,Pharmaceuticals,Spring,Low,Complex,34.6,714.5,582.0,3.76,3.11,3.0,2,0,0.0,6072.9,0.0,6072.9
Sea Freight,Port of Tauranga,Hamilton,Hazardous,Winter,Medium,Complex,10.4,235.3,763.0,3.83,1.86,4.0,0,0,0.0,282.37,0.0,282.37
Sea Freight,Port of Auckland,Christchurch,Bulk,Summer,Medium,Simple,15.5,881.7,455.0,0.7,2.86,0.4,0,1,32.6,1058.09,1508.87,2566.97
Sea Freight,Port of Auckland,Wellington,Refrigerated,Summer,Medium,Simple,16.4,697.4,2307.0,5.15,4.56,1.7,0,0,0.0,836.94,0.0,836.94
Sea Freight,Port of Auckland,Auckland,Hazardous,Winter,High,Moderate,30.9,1216.5,1328.0,1.01,4.9,3.6,0,0,0.0,1459.77,0.0,1459.77
Road,Port of Auckland,Wellington,Pharmaceuticals,Autumn,High,Complex,21.8,143.8,2442.0,0.69,4.03,0.6,0,0,0.0,301.94,0.0,301.94
Sea Freight,Port of Auckland,Tauranga,General Merchandise,Summer,Low,Simple,17.9,519.0,1151.0,0.76,3.5,0.9,1,1,38.3,622.83,2104.09,2726.92
Rail,Port of Auckland,Christchurch,General Merchandise,Autumn,Low,Moderate,11.2,4995.3,1404.0,2.79,1.06,0.6,0,0,0.0,8991.54,0.0,8991.54
Air Cargo,Lyttelton Port,Wellington,General Merchandise,Autumn,Medium,Simple,18.7,985.1,1984.0,5.33,1.86,1.8,0,0,0.0,8373.29,0.0,8373.29
Sea Freight,Port of Auckland,Christchurch,Bulk,Summer,Medium,Simple,23.5,972.4,2003.0,4.23,3.8,1.3,0,0,0.0,1166.84,0.0,1166.84
Air Cargo,Wellington Port,Hamilton,General Merchandise,Winter,High,Simple,10.3,356.0,616.0,0.46,1.55,1.5,2,0,0.0,3026.25,0.0,3026.25
Air Cargo,Port of Auckland,Wellington,General Merchandise,Spring,High,Simple,17.9,128.9,756.0,4.28,4.09,0.3,0,0,0.0,1095.43,0.0,1095.43
Road,Port of Auckland,Auckland,General Merchandise,Winter,Medium,Complex,20.1,2438.5,290.0,3.13,1.17,2.6,0,0,0.0,5120.93,0.0,5120.93
Sea Freight,Port of Tauranga,Christchurch,Hazardous,Spring,Medium,Simple,21.5,139.2,2023.0,3.24,3.6,1.5,0,1,26.4,167.0,1194.55,1361.55
Sea Freight,Port of Auckland,Christchurch,Refrigerated,Summer,Low,Complex,20.3,3986.6,1995.0,3.65,1.55,0.1,0,1,27.6,4783.92,2239.02,7022.94
Road,Port Otago,Hamilton,General Merchandise,Autumn,High,Simple,25.3,157.5,249.0,4.0,1.28,0.7,0,0,0.0,330.83,0.0,330.83
Rail,Port of Auckland,Dunedin,Pharmaceuticals,Winter,Medium,Complex,10.2,199.9,681.0,1.84,2.27,2.3,0,1,32.6,359.89,4094.23,4454.12
Road,Wellington Port,Wellington,Pharmaceuticals,Winter,High,Moderate,26.3,345.0,1152.0,1.0,2.18,1.9,1,0,0.0,724.42,0.0,724.42
Sea Freight,Port Otago,Auckland,General Merchandise,Winter,Low,Moderate,9.7,624.6,1377.0,2.35,2.47,1.7,2,1,43.7,749.48,2707.7,3457.18
Road,Port of Tauranga,Tauranga,Bulk,Winter,Low,Simple,20.8,1300.0,1330.0,4.9,2.01,0.5,0,0,0.0,2730.1,0.0,2730.1
Air Cargo,Port of Tauranga,Wellington,Hazardous,Winter,Medium,Moderate,26.1,2882.6,2459.0,1.34,2.63,5.7,0,1,15.9,24502.07,1201.07,25703.14
Air Cargo,Lyttelton Port,Christchurch,General Merchandise,Summer,Low,Complex,13.4,405.6,1922.0,7.38,7.59,3.4,0,1,21.9,3447.28,1079.75,4527.03
Sea Freight,Port of Tauranga,Christchurch,General Merchandise,Winter,Medium,Simple,11.7,66.5,327.0,2.33,3.03,2.9,0,0,0.0,79.8,0.0,79.8
Air Cargo,Lyttelton Port,Christchurch,Refrigerated,Winter,High,Simple,13.3,817.1,769.0,3.66,3.66,2.9,1,0,0.0,6945.41,0.0,6945.41
Sea Freight,Port of Auckland,Auckland,Refrigerated,Spring,Medium,Simple,13.6,1042.5,896.0,2.78,5.14,1.6,0,0,0.0,1250.98,0.0,1250.98
Sea Freight,Port of Auckland,Hamilton,General Merchandise,Winter,High,Simple,14.6,455.3,822.0,3.98,3.81,1.5,0,0,0.0,546.31,0.0,546.31
Road,Port of Tauranga,Hamilton,Automotive,Winter,Medium,Simple,22.0,212.2,1976.0,2.96,3.57,2.8,0,0,0.0,445.53,0.0,445.53
Sea Freight,Port of Tauranga,Christchurch,Refrigerated,Winter,Low,Moderate,15.9,342.2,933.0,4.69,3.62,0.4,0,1,27.7,410.69,2090.47,2501.17
Sea Freight,Port Otago,Wellington,Bulk,Spring,Medium,Simple,18.7,903.2,1256.0,1.14,1.34,2.5,0,1,43.1,1083.87,1995.78,3079.65
Sea Freight,Port of Auckland,Auckland,General Merchandise,Spring,High,Moderate,13.1,595.3,1357.0,1.06,1.36,1.5,0,0,0.0,714.32,0.0,714.32
Rail,Port Otago,Auckland,Hazardous,Spring,High,Complex,12.5,1138.3,713.0,0.78,4.26,1.2,0,0,0.0,2048.88,0.0,2048.88
Air Cargo,Port of Auckland,Wellington,Refrigerated,Winter,High,Moderate,12.7,246.9,841.0,1.83,2.06,1.7,0,0,0.0,2098.6,0.0,2098.6
Sea Freight,Port of Tauranga,Wellington,Hazardous,Summer,High,Simple,18.5,1526.1,1961.0,0.41,2.02,1.5,0,0,0.0,1831.27,0.0,1831.27
Road,Port of Auckland,Tauranga,Bulk,Winter,High,Moderate,19.8,185.6,2173.0,2.27,6.87,2.4,0,0,0.0,389.7,0.0,389.7
Road,Port of Tauranga,Hamilton,Bulk,Winter,Medium,Simple,23.2,370.3,141.0,3.04,2.65,0.0,0,0,0.0,777.59,0.0,777.59
Sea Freight,Port of Auckland,Christchurch,Refrigerated,Spring,Medium,Simple,20.3,765.6,1533.0,3.57,2.4,0.3,1,0,0.0,918.77,0.0,918.77
Air Cargo,Port of Tauranga,Christchurch,Bulk,Summer,Medium,Simple,16.9,1118.1,1602.0,4.33,2.32,4.4,2,0,0.0,9503.55,0.0,9503.55
Road,Port Otago,Auckland,Pharmaceuticals,Winter,High,Complex,14.9,297.6,1856.0,1.5,0.86,0.3,0,1,19.0,624.95,2393.67,3018.62
Air Cargo,Port of Tauranga,Tauranga,Bulk,Autumn,High,Moderate,10.5,2417.1,1750.0,1.76,5.78,4.3,0,0,0.0,20544.95,0.0,20544.95
Sea Freight,Port of Tauranga,Wellington,General Merchandise,Spring,High,Simple,13.3,1029.6,2200.0,5.23,2.68,0.8,0,0,0.0,1235.57,0.0,1235.57
Road,Port Otago,Auckland,Bulk,Summer,High,Simple,9.3,246.4,242.0,5.72,0.84,0.3,0,0,0.0,517.41,0.0,517.41
Air Cargo,Lyttelton Port,Wellington,General Merchandise,Winter,High,Simple,16.5,1085.0,1002.0,1.64,3.4,0.6,0,0,0.0,9222.65,0.0,9222.65
Sea Freight,Port of Tauranga,Dunedin,Automotive,Autumn,High,Complex,12.3,1003.5,1966.0,0.36,2.18,1.4,0,0,0.0,1204.15,0.0,1204.15
Sea Freight,Port of Auckland,Dunedin,Hazardous,Summer,Medium,Complex,14.0,1167.7,2124.0,3.93,5.75,1.1,0,1,39.4,1401.21,1840.19,3241.39
Sea Freight,Port Otago,Auckland,Refrigerated,Winter,Low,Simple,17.8,2030.4,699.0,1.33,1.65,1.1,0,0,0.0,2436.5,0.0,2436.5
Sea Freight,Port of Tauranga,Dunedin,General Merchandise,Summer,Medium,Simple,14.1,1045.1,1484.0,3.27,2.66,0.4,1,0,0.0,1254.06,0.0,1254.06
Road,Port of Auckland,Auckland,Refrigerated,Winter,Medium,Moderate,12.4,397.0,493.0,2.79,0.82,2.2,1,1,15.2,833.66,1509.6,2343.26
Sea Freight,Port of Auckland,Auckland,Automotive,Spring,High,Simple,12.0,1300.5,2135.0,1.52,1.26,0.4,0,0,0.0,1560.59,0.0,1560.59
Sea Freight,Port Otago,Dunedin,General Merchandise,Spring,Low,Simple,25.5,1002.2,1840.0,1.76,1.88,2.0,1,1,59.4,1202.66,3111.44,4314.1
Air Cargo,Port of Auckland,Dunedin,Refrigerated,Summer,High,Moderate,16.9,733.1,594.0,4.0,0.98,1.2,0,0,0.0,6231.69,0.0,6231.69
Sea Freight,Wellington Port,Christchurch,Pharmaceuticals,Spring,High,Simple,19.6,399.4,1578.0,3.63,2.99,2.1,0,0,0.0,479.23,0.0,479.23
Rail,Port of Auckland,Christchurch,Refrigerated,Autumn,High,Moderate,11.6,2081.1,1298.0,2.38,0.86,0.2,1,1,18.1,3746.06,1795.8,5541.86
Sea Freight,Lyttelton Port,Hamilton,Refrigerated,Spring,High,Simple,10.5,625.2,684.0,1.56,2.07,2.2,1,1,19.9,750.23,1858.22,2608.44
Sea Freight,Port of Tauranga,Hamilton,Hazardous,Spring,Medium,Moderate,8.2,841.3,2238.0,4.54,3.67,1.6,0,1,13.3,1009.57,613.79,1623.37
Sea Freight,Port of Tauranga,Dunedin,Refrigerated,Summer,Low,Moderate,13.4,479.4,412.0,3.55,3.73,0.1,1,1,39.9,575.29,3370.13,3945.42
Sea Freight,Port Otago,Christchurch,General Merchandise,Autumn,Medium,Moderate,30.3,1264.3,1195.0,3.23,3.81,1.7,0,0,0.0,1517.13,0.0,1517.13
Sea Freight,Port of Tauranga,Tauranga,General Merchandise,Autumn,High,Moderate,19.0,383.7,1478.0,3.72,6.46,3.1,1,1,52.7,460.41,2750.51,3210.92
Road,Port of Tauranga,Tauranga,Bulk,Spring,Medium,Simple,13.6,1381.3,2068.0,0.79,0.79,1.1,1,0,0.0,2900.65,0.0,2900.65
Rail,Port of Auckland,Auckland,Pharmaceuticals,Autumn,Medium,Simple,22.5,141.4,418.0,3.83,2.51,0.0,0,0,0.0,254.48,0.0,254.48
Sea Freight,Port of Auckland,Dunedin,General Merchandise,Winter,Low,Simple,10.2,1037.4,1542.0,5.18,4.59,2.3,0,0,0.0,1244.93,0.0,1244.93
Air Cargo,Port of Auckland,Wellington,General Merchandise,Winter,Medium,Simple,24.1,568.4,66.0,2.19,4.36,1.4,0,0,0.0,4831.05,0.0,4831.05
Road,Lyttelton Port,Wellington,Refrigerated,Spring,Medium,Simple,26.2,1009.9,2065.0,2.31,1.0,4.2,0,0,0.0,2120.71,0.0,2120.71
Road,Port of Auckland,Christchurch,Automotive,Spring,Medium,Moderate,13.5,656.4,625.0,0.72,4.29,0.6,0,0,0.0,1378.43,0.0,1378.43
Sea Freight,Port of Auckland,Auckland,General Merchandise,Autumn,Medium,Simple,14.2,165.4,1816.0,4.25,2.96,4.6,1,0,0.0,198.46,0.0,198.46
Sea Freight,Port of Tauranga,Christchurch,Automotive,Winter,High,Simple,17.6,568.5,1525.0,2.18,0.82,2.3,2,0,0.0,682.23,0.0,682.23
Sea Freight,Lyttelton Port,Dunedin,General Merchandise,Spring,High,Moderate,10.4,2721.9,173.0,2.02,3.97,4.1,0,0,0.0,3266.29,0.0,3266.29
Road,Lyttelton Port,Auckland,Pharmaceuticals,Spring,Medium,Moderate,15.8,1174.7,499.0,1.27,0.44,0.1,0,0,0.0,2466.82,0.0,2466.82
Road,Port of Auckland,Wellington,Hazardous,Summer,Low,Simple,34.5,335.6,706.0,1.75,2.93,1.5,0,0,0.0,704.67,0.0,704.67
Sea Freight,Port of Auckland,Tauranga,Bulk,Autumn,Medium,Simple,12.7,2357.6,2222.0,2.79,1.74,0.7,0,0,0.0,2829.07,0.0,2829.07
Sea Freight,Wellington Port,Wellington,Refrigerated,Autumn,Low,Simple,15.1,1257.5,1228.0,4.04,2.89,3.8,1,0,0.0,1508.98,0.0,1508.98
Rail,Port of Auckland,Wellington,Bulk,Autumn,High,Simple,15.3,412.6,2288.0,0.65,2.37,1.2,0,0,0.0,742.69,0.0,742.69
Road,Port Otago,Wellington,General Merchandise,Summer,Medium,Complex,22.7,790.2,166.0,2.69,4.18,0.9,0,1,16.8,1659.45,792.42,2451.87
Rail,Port Otago,Christchurch,General Merchandise,Autumn,High,Simple,18.5,495.1,66.0,4.58,1.61,0.5,1,0,0.0,891.1,0.0,891.1
Road,Lyttelton Port,Christchurch,Refrigerated,Winter,Low,Moderate,22.2,131.4,2373.0,2.7,1.11,0.0,0,0,0.0,275.84,0.0,275.84
Sea Freight,Port of Auckland,Hamilton,Automotive,Autumn,High,Complex,13.3,1362.0,1824.0,3.48,3.24,0.3,1,0,0.0,1634.45,0.0,1634.45
Air Cargo,Port Otago,Wellington,Bulk,Winter,Medium,Moderate,20.3,219.6,1969.0,3.11,0.68,4.1,0,0,0.0,1866.96,0.0,1866.96
Air Cargo,Lyttelton Port,Hamilton,Hazardous,Summer,High,Simple,10.4,540.0,2294.0,3.43,3.03,2.7,0,0,0.0,4590.41,0.0,4590.41
Sea Freight,Port of Tauranga,Christchurch,Hazardous,Spring,Medium,Moderate,9.3,1020.2,2462.0,3.22,0.65,2.8,0,1,33.4,1224.29,1554.02,2778.31
Air Cargo,Port of Auckland,Wellington,General Merchandise,Spring,Low,Moderate,23.5,2203.1,289.0,3.13,3.99,2.2,2,1,25.5,18726.49,2444.75,21171.24
Road,Port of Auckland,Christchurch,Automotive,Winter,High,Moderate,11.6,101.8,438.0,3.18,2.18,5.6,1,0,0.0,213.83,0.0,213.83
Sea Freight,Port of Auckland,Hamilton,Bulk,Spring,Low,Complex,8.5,449.7,512.0,1.34,2.3,1.2,0,1,32.6,539.63,1489.24,2028.86
Road,Port of Tauranga,Christchurch,Bulk,Summer,Low,Moderate,15.8,812.9,2055.0,3.19,0.51,5.1,0,0,0.0,1707.04,0.0,1707.04
Air Cargo,Port of Tauranga,Auckland,Refrigerated,Spring,High,Moderate,19.7,1258.8,921.0,0.55,0.38,5.3,1,0,0.0,10699.75,0.0,10699.75
Rail,Port of Tauranga,Auckland,Pharmaceuticals,Summer,Medium,Complex,9.1,2079.9,1504.0,3.41,1.17,1.5,0,0,0.0,3743.91,0.0,3743.91
Sea Freight,Port of Tauranga,Auckland,Automotive,Autumn,High,Moderate,14.3,50.4,2145.0,3.1,2.11,2.0,0,0,0.0,60.48,0.0,60.48
Sea Freight,Port of Tauranga,Auckland,Bulk,Autumn,High,Moderate,19.2,840.6,1724.0,1.35,5.15,7.7,0,1,33.3,1008.7,1541.4,2550.09
Air Cargo,Lyttelton Port,Christchurch,Refrigerated,Winter,Medium,Moderate,18.9,55.6,210.0,0.35,1.58,3.5,0,0,0.0,472.34,0.0,472.34
Sea Freight,Port Otago,Auckland,Bulk,Autumn,Medium,Moderate,8.4,1288.1,1142.0,2.5,2.18,2.5,1,0,0.0,1545.76,0.0,1545.76
Road,Port of Auckland,Hamilton,Hazardous,Winter,High,Moderate,17.2,179.7,215.0,2.43,2.25,0.4,0,0,0.0,377.37,0.0,377.37
Road,Port of Tauranga,Auckland,Refrigerated,Autumn,High,Simple,17.7,1850.2,1223.0,1.37,1.25,1.9,0,0,0.0,3885.32,0.0,3885.32
Sea Freight,Port of Auckland,Wellington,Refrigerated,Spring,Low,Moderate,15.9,184.9,587.0,2.53,1.93,2.6,0,0,0.0,221.82,0.0,221.82
Air Cargo,Lyttelton Port,Christchurch,Refrigerated,Winter,Medium,Moderate,24.2,1206.3,53.0,3.78,2.11,3.0,0,0,0.0,10253.17,0.0,10253.17
Air Cargo,Lyttelton Port,Auckland,Hazardous,Summer,High,Moderate,14.7,323.2,2042.0,1.29,4.17,0.4,0,0,0.0,2747.27,0.0,2747.27
Sea Freight,Wellington Port,Dunedin,Refrigerated,Autumn,Medium,Moderate,19.9,701.8,2425.0,2.38,4.42,6.0,1,1,30.1,842.17,2635.45,3477.62
Rail,Port of Auckland,Auckland,General Merchandise,Spring,High,Simple,16.9,800.1,2412.0,2.33,0.55,0.4,0,0,0.0,1440.15,0.0,1440.15
Road,Wellington Port,Wellington,Bulk,Autumn,High,Simple,18.3,235.3,783.0,2.75,0.35,1.0,0,0,0.0,494.14,0.0,494.14
Air Cargo,Port of Auckland,Dunedin,Hazardous,Winter,Medium,Moderate,16.4,333.9,2080.0,5.28,2.57,5.5,0,1,9.3,2837.74,453.81,3291.55
Road,Lyttelton Port,Christchurch,General Merchandise,Winter,Medium,Complex,15.5,141.0,1713.0,1.95,1.58,4.7,0,0,0.0,296.08,0.0,296.08
Air Cargo,Port of Auckland,Auckland,Refrigerated,Autumn,High,Simple,25.8,54.2,2010.0,3.54,1.61,2.7,1,0,0.0,461.06,0.0,461.06
Rail,Port Otago,Wellington,Automotive,Autumn,Medium,Moderate,12.8,269.0,2123.0,1.67,5.72,0.8,0,0,0.0,484.18,0.0,484.18
Air Cargo,Port of Tauranga,Hamilton,Bulk,Autumn,High,Moderate,12.5,630.5,2452.0,3.45,3.87,0.7,1,0,0.0,5359.59,0.0,5359.59
Road,Lyttelton Port,Tauranga,Refrigerated,Summer,Medium,Moderate,25.2,1050.3,422.0,3.7,2.59,1.4,1,0,0.0,2205.6,0.0,2205.6
Road,Port Otago,Dunedin,Pharmaceuticals,Autumn,High,Moderate,12.9,1312.2,1936.0,1.51,2.5,1.3,2,0,0.0,2755.61,0.0,2755.61
Sea Freight,Port of Auckland,Wellington,General Merchandise,Summer,Medium,Simple,8.9,107.9,1849.0,0.85,2.72,0.8,1,1,36.7,129.43,2005.46,2134.89
Road,Port of Auckland,Tauranga,Pharmaceuticals,Autumn,High,Moderate,15.6,304.4,755.0,1.3,2.53,3.3,0,0,0.0,639.28,0.0,639.28
Sea Freight,Port Otago,Auckland,General Merchandise,Autumn,Medium,Moderate,9.5,1226.5,1012.0,1.6,5.39,1.0,0,0,0.0,1471.82,0.0,1471.82
Sea Freight,Port of Auckland,Auckland,General Merchandise,Spring,Medium,Moderate,6.8,574.5,483.0,3.22,4.76,4.1,1,1,47.6,689.37,2534.18,3223.55
Sea Freight,Port of Auckland,Dunedin,Refrigerated,Winter,High,Moderate,15.5,210.9,2288.0,1.11,0.57,0.7,0,0,0.0,253.08,0.0,253.08
Rail,Port of Tauranga,Auckland,Refrigerated,Spring,High,Simple,19.2,448.3,2204.0,0.69,4.19,1.1,0,0,0.0,807.02,0.0,807.02
Road,Port of Tauranga,Auckland,Hazardous,Summer,Medium,Complex,24.2,301.8,1554.0,2.81,2.48,1.7,0,1,22.4,633.79,1025.83,1659.62
Road,Port of Auckland,Auckland,Bulk,Summer,High,Moderate,22.3,91.6,1303.0,3.62,2.85,0.9,0,1,1.0,192.33,45.24,237.57
Road,Port of Auckland,Wellington,Automotive,Spring,Medium,Moderate,10.1,1203.9,621.0,1.51,1.21,0.4,0,0,0.0,2528.14,0.0,2528.14
Air Cargo,Port of Auckland,Hamilton,Refrigerated,Winter,Medium,Complex,14.0,325.9,1985.0,2.17,0.03,3.6,0,0,0.0,2770.17,0.0,2770.17
Rail,Port of Tauranga,Christchurch,Refrigerated,Summer,Medium,Complex,20.4,2372.3,70.0,4.2,1.4,2.3,0,0,0.0,4270.05,0.0,4270.05
Air Cargo,Port Otago,Auckland,General Merchandise,Autumn,Low,Moderate,15.2,1802.3,1184.0,3.16,4.43,5.2,0,0,0.0,15319.54,0.0,15319.54
Sea Freight,Wellington Port,Christchurch,General Merchandise,Winter,Medium,Moderate,12.2,1057.8,2158.0,2.44,4.23,3.5,0,1,32.1,1269.37,1494.78,2764.15
Sea Freight,Lyttelton Port,Tauranga,Bulk,Spring,Medium,Moderate,8.2,366.4,1565.0,1.84,1.28,1.0,0,0,0.0,439.65,0.0,439.65
Road,Port of Auckland,Hamilton,General Merchandise,Summer,Medium,Simple,16.1,312.7,1606.0,1.62,2.31,5.6,0,0,0.0,656.71,0.0,656.71
Road,Port Otago,Wellington,Bulk,Winter,Low,Simple,10.1,565.9,223.0,7.73,2.32,3.0,0,0,0.0,1188.39,0.0,1188.39
Sea Freight,Port of Tauranga,Tauranga,Hazardous,Winter,High,Moderate,18.2,400.3,752.0,1.42,1.49,0.3,0,1,38.6,480.37,1761.7,2242.08
Sea Freight,Port of Auckland,Hamilton,General Merchandise,Spring,Low,Moderate,13.0,1901.4,1701.0,3.38,0.64,3.5,0,0,0.0,2281.67,0.0,2281.67
Road,Wellington Port,Auckland,Hazardous,Spring,Low,Simple,13.3,155.5,172.0,1.24,2.07,0.7,1,0,0.0,326.45,0.0,326.45
Sea Freight,Lyttelton Port,Auckland,General Merchandise,Autumn,High,Complex,20.6,1081.2,861.0,3.28,4.4,5.5,0,1,56.9,1297.49,2654.15,3951.64
Road,Lyttelton Port,Auckland,Refrigerated,Winter,High,Moderate,12.7,805.1,917.0,7.74,0.67,2.4,0,1,13.1,1690.77,1010.72,2701.48
Rail,Lyttelton Port,Hamilton,Bulk,Spring,Low,Moderate,11.9,1363.2,1272.0,7.09,0.94,0.9,0,0,0.0,2453.69,0.0,2453.69
Sea Freight,Port of Auckland,Auckland,Refrigerated,Winter,Medium,Simple,17.4,675.6,938.0,5.65,0.91,1.8,0,1,28.9,810.67,2199.13,3009.8
Sea Freight,Port of Auckland,Christchurch,General Merchandise,Spring,High,Simple,12.8,844.4,1163.0,3.24,1.95,0.4,0,0,0.0,1013.29,0.0,1013.29
Road,Lyttelton Port,Auckland,Bulk,Spring,Medium,Complex,14.9,2681.9,1390.0,2.03,4.26,0.9,0,0,0.0,5631.95,0.0,5631.95
Road,Port of Auckland,Tauranga,General Merchandise,Summer,High,Simple,28.0,127.2,364.0,4.47,2.48,0.4,0,0,0.0,267.07,0.0,267.07
Air Cargo,Port of Tauranga,Wellington,Bulk,Summer,High,Moderate,16.6,138.6,492.0,5.47,4.55,0.3,1,0,0.0,1178.31,0.0,1178.31
Rail,Lyttelton Port,Dunedin,Refrigerated,Spring,Medium,Moderate,15.0,450.2,2090.0,3.51,0.82,1.2,0,0,0.0,810.33,0.0,810.33
Sea Freight,Lyttelton Port,Tauranga,Refrigerated,Autumn,Medium,Moderate,22.4,562.0,1176.0,0.66,2.02,0.6,0,1,52.1,674.45,3951.18,4625.63
Air Cargo,Port of Tauranga,Auckland,Automotive,Summer,Low,Moderate,7.9,228.4,920.0,3.15,1.89,0.7,0,0,0.0,1941.29,0.0,1941.29
Road,Lyttelton Port,Wellington,Bulk,Autumn,Medium,Simple,23.5,119.0,1113.0,3.23,2.53,0.5,0,0,0.0,249.96,0.0,249.96
Road,Port Otago,Auckland,General Merchandise,Spring,Low,Simple,7.8,67.9,478.0,1.88,1.52,2.7,0,0,0.0,142.68,0.0,142.68
Sea Freight,Lyttelton Port,Dunedin,General Merchandise,Summer,High,Moderate,27.5,1207.1,638.0,6.59,2.64,6.1,0,0,0.0,1448.58,0.0,1448.58
Road,Port of Auckland,Christchurch,Automotive,Winter,Medium,Moderate,9.7,581.0,1313.0,6.61,3.96,2.6,0,0,0.0,1220.02,0.0,1220.02
Air Cargo,Port of Auckland,Auckland,General Merchandise,Summer,High,Simple,16.2,1533.3,929.0,3.75,2.53,1.2,0,0,0.0,13032.76,0.0,13032.76
Sea Freight,Port of Auckland,Auckland,Hazardous,Summer,High,Simple,9.6,408.1,1215.0,6.53,0.96,2.3,2,0,0.0,489.69,0.0,489.69
Sea Freight,Port of Auckland,Wellington,Bulk,Autumn,Low,Simple,21.5,1022.4,417.0,0.59,0.36,0.4,1,1,74.6,1226.91,3821.62,5048.53
Road,Port of Auckland,Tauranga,Bulk,Summer,High,Moderate,23.2,586.4,433.0,3.24,2.28,3.7,0,0,0.0,1231.35,0.0,1231.35
Sea Freight,Port of Auckland,Hamilton,Bulk,Spring,Low,Simple,22.7,807.5,991.0,6.12,2.14,1.1,0,1,22.3,969.05,1028.71,1997.76
Sea Freight,Port of Tauranga,Dunedin,Bulk,Spring,High,Simple,12.1,419.9,978.0,7.39,2.35,0.5,1,1,24.8,503.85,1482.56,1986.42
Sea Freight,Port Otago,Wellington,Bulk,Spring,High,Moderate,18.4,117.7,2214.0,2.46,1.39,0.9,0,0,0.0,141.27,0.0,141.27
Road,Port of Auckland,Auckland,Automotive,Summer,High,Simple,27.6,2405.6,132.0,3.41,5.87,1.3,1,1,31.1,5051.82,1946.3,6998.12
Air Cargo,Lyttelton Port,Tauranga,Bulk,Winter,Medium,Moderate,14.9,1496.7,2482.0,4.92,2.19,1.8,0,0,0.0,12722.37,0.0,12722.37
Road,Lyttelton Port,Auckland,Refrigerated,Summer,High,Simple,15.0,349.0,2393.0,4.78,5.71,1.6,0,0,0.0,733.0,0.0,733.0
